tag,title,date,url
Leetcode,2751. Robot Collisions,13/07/2024,https://hackmd.io/@dajunctic/S1fL7UkOC
Leetcode,2582. Pass the Pillow,06/07/2024,https://hackmd.io/@dajunctic/SJHs_hLDA
Leetcode,2192. All Ancestors of a Node in a Directed Acyclic Graph,29/06/2024,https://hackmd.io/@dajunctic/ryyO8F6IA
Leetcode,1248. Count Number of Nice Subarrays,22/06/2024,https://hackmd.io/@dajunctic/rJKq-IELA
Leetcode,502. IPO, 15/06/2024,https://hackmd.io/@dajunctic/r19MdIcr0
Leetcode,523. Continuous Subarray Sum,08/06/2024,https://hackmd.io/@dajunctic/BJZzksWBR
Leetcode,3110. Score of a String,06/01/2024,https://hackmd.io/@dajunctic/HkObDWON0
Leetcode,140. Word Break II,25/05/2024,https://hackmd.io/@dajunctic/HJqFYCCXA 
Leetcode,979. Distribute Coins in Binary Tree,18/05/2024,https://hackmd.io/@dajunctic/H1AiQmLX0
Leetcode,857. Minimum Cost to Hire K Workers,11/05/2024,https://hackmd.io/@dajunctic/HJ4kuj3f0
Leetcode,881. Boats To Save People,04/05/2024,https://hackmd.io/@dajunctic/HkS11r7MC
Leetcode,514. Freedom Trail,27/04/2024,https://hackmd.io/@dajunctic/r1l7gU_cWC
Leetcode,1992. Find All Groups of Farmland,20/04/2024,https://hackmd.io/@dajunctic/HJsjWBZ-C
Leetcode,85. Maximal Rectangle,13/04/2024,https://hackmd.io/@dajunctic/ryHzxkOgC
Leetcode,1249. Minimum Remove to Make Valid Parentheses,06/04/2024,https://hackmd.io/@dajunctic/SyOuchA1A
Leetcode,992. Subarrays with K Different Integers,30/03/2024,https://hackmd.io/@dajunctic/SkYDfuHkR
Leetcode,143. Reorder List,23/03/2024,https://hackmd.io/@dajunctic/H1CzLqsAT
Leetcode,525. Contiguous Array,16/03/2024,https://hackmd.io/@dajunctic/S1kIfcMR6
Leetcode,2540. Minimum Common Value,09/03/2024,https://hackmd.io/@dajunctic/SyeseOYTp
Leetcode,977. Squares of a Sorted Array,02/03/2024,https://hackmd.io/@dajunctic/B1GbFOgT6
Leetcode,2092. Find All People With Secret,24/02/2024,https://hackmd.io/@dajunctic/r1w6v8P3T
Leetcode,1642. Furthest Building You Can Reach,17/02/2024,https://hackmd.io/@dajunctic/SJ3HgYps6
Leetcode,647. Palindromic Substrings,10/02/2024,https://hackmd.io/@dajunctic/HkuIPqXip
Leetcode,1043. Partition Array for Maximum Sum,03/02/2024,https://hackmd.io/@dajunctic/ry1y2nsqT
Leetcode,629. K Inverse Pairs Array,27/01/2024,https://hackmd.io/@dajunctic/B18Ek-G56
Leetcode,907. Sum of Subarray Minimums,20/01/2024,https://hackmd.io/@dajunctic/S1sajItKT
Leetcode,1347. Minimum Number of Steps to Make Two Strings Anagram,13/01/2024,https://hackmd.io/@dajunctic/BJsRzU1tp
Leetcode,1235. Maximum Profit in Job Scheduling,06/01/2024,https://hackmd.io/@dajunctic/Bklx7D1vu6
Leetcode,1897. Redistribute Characters to Make All Strings Equal,30/12/2023,https://hackmd.io/@dajunctic/HyM6Bt6wa
Leetcode,1496. Path Crossing,23/12/2023,https://hackmd.io/@dajunctic/Bk-acHND6
Leetcode,242. Valid Anagram,16/12/2023,https://hackmd.io/@dajunctic/HJkreWoU6
Leetcode,94. Binary Tree Inorder Traversal,09/12/2023,https://hackmd.io/@dajunctic/H1Ub-9b86
Leetcode,1160. Find Words That Can Be Formed by Characters,02/12/2023,https://hackmd.io/@dajunctic/HyN0mf_S6
Leetcode,1685. Sum of Absolute Differences in a Sorted Array,25/11/2023,https://hackmd.io/@dajunctic/r1A4tyJHp
Leetcode,1838. Frequency of the Most Frequent Element,18/11/2023,https://hackmd.io/@dajunctic/Sy8jqoBE6
Leetcode,2642. Design Graph With Shortest Path Calculator,11/11/2023,https://hackmd.io/@dajunctic/BklIxj27p
Leetcode,1503. Last Moment Before All Ants Fall Out of a Plank,04/11/2023,https://hackmd.io/@dajunctic/By2nxY7m6
Leetcode,1220. Count Vowels Permutation,28/10/2023,https://hackmd.io/@dajunctic/B1499B5f6
Leetcode,1425. Constrained Subsequence Sum,21/10/2023,https://hackmd.io/@dajunctic/Byrn5IWf6
Leetcode,2742. Painting the Walls,14/10/2023,https://hackmd.io/@dajunctic/B1nLx0wb6
Leetcode,1048. Longest String Chain,23/09/2023,https://hackmd.io/@dajunctic/rk2Skm21T
Leetcode,1631. Path With Minimum Effort,16/09/2023,https://hackmd.io/@dajunctic/SJnvTjMJ6
Leetcode,377. Combination Sum IV,09/09/2023,https://hackmd.io/@dajunctic/rk0LHrt03
Leetcode,2707. Extra Characters in a String,02/09/2023,https://hackmd.io/@dajunctic/ryZdiGg0h
Leetcode,646. Maximum Length of Pair Chain,26/08/2023,https://hackmd.io/@dajunctic/rJZimxwah
Leetcode,1489. Find Critical and Pseudo-Critical Edges in Minimum Spanning Tree,19/08/2023,https://hackmd.io/@dajunctic/HkunpHRn2